2025-12-10 16:44:44.539 | INFO     | __main__:<module>:8 - PYTORCH_ALLOC_CONF=expandable_segments:True
2025-12-10 16:44:48.818 | INFO     | __main__:<module>:14 - 🚀 Запуск приложения...
2025-12-10 16:45:14.919 | INFO     | app.rag.search:search_similar_texts:7 - 🔍 Поиск похожих текстов для запроса: 'Как поменять пароль через портал и каким он должен быть?...'
2025-12-10 16:45:14.920 | INFO     | app.models.embedding:__new__:11 - Загрузка модели эмбеддингов (multilingual-e5-small) на CPU...
2025-12-10 16:45:15.821 | SUCCESS  | app.models.embedding:__new__:17 - ✅ Модель эмбеддингов загружена и готова к использованию.
2025-12-10 16:45:15.833 | INFO     | app.db.connection:get_db_connection:9 - Установка соединения с базой данных...
2025-12-10 16:45:15.842 | SUCCESS  | app.db.connection:get_persistent_db_connection:21 - ✅ Соединение с базой данных установлено.
2025-12-10 16:45:15.845 | INFO     | app.rag.search:search_similar_texts:24 - 📥 Получено 15 чанков из БД. IDs: [45, 47, 46, 1216, 6, 13, 60, 531, 93, 2151, 59, 1219, 1378, 707, 2300]
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=45, original_id=10, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=47, original_id=10, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=46, original_id=10, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1216, original_id=356, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=6, original_id=1, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.845 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=13, original_id=2, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=60, original_id=12, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=531, original_id=151, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=93, original_id=18, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=2151, original_id=666, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=59, original_id=12, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1219, original_id=356, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1378, original_id=402, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=707, original_id=229, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=2300, original_id=900, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:45:15.846 | INFO     | app.models.llm:__init__:31 - Загрузка Saiga-Mistral-7B-GPTQ...
2025-12-10 16:45:17.175 | SUCCESS  | app.models.llm:__init__:53 - ✅ Saiga-Mistral-7B-GPTQ загружена.
2025-12-10 16:45:17.176 | INFO     | app.rag.pipeline:rag_pipeline_stream:37 - Контекст подготовлен, длина: 1798 символов
2025-12-10 16:45:17.177 | INFO     | app.models.llm:stream_generate:57 - Начало генерации ответа...
2025-12-10 16:50:26.944 | INFO     | app.models.llm:stream_generate:76 - Генерация завершена
2025-12-10 16:57:26.547 | INFO     | app.rag.search:search_similar_texts:7 - 🔍 Поиск похожих текстов для запроса: 'что написано в инструкции по безбумажному выпуску?...'
2025-12-10 16:57:26.548 | INFO     | app.models.embedding:__new__:11 - Загрузка модели эмбеддингов (multilingual-e5-small) на CPU...
2025-12-10 16:57:26.548 | SUCCESS  | app.models.embedding:__new__:17 - ✅ Модель эмбеддингов загружена и готова к использованию.
2025-12-10 16:57:26.611 | INFO     | app.rag.search:search_similar_texts:24 - 📥 Получено 15 чанков из БД. IDs: [222, 1700, 536, 1699, 220, 2300, 513, 63, 277, 1357, 1349, 465, 49, 1253, 2286]
2025-12-10 16:57:26.612 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=222, original_id=43, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.612 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1700, original_id=472, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.612 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=536, original_id=152, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1699, original_id=472, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=220, original_id=43, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=2300, original_id=900, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=513, original_id=149, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=63, original_id=13, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=277, original_id=50, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.613 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1357, original_id=394, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.614 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1349, original_id=388, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.614 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=465, original_id=137, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.614 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=49, original_id=11, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
2025-12-10 16:57:26.614 | DEBUG    | app.rag.pipeline:rag_pipeline_stream:22 - 📄 Чанк ID=1253, original_id=361, URL=http://sp.giprovostokneft.ru/educationalhelpcenter...
